referee,matches,mean,vs_average,ci_low,ci_high,t,p,p_fdr,significant
P Bankes,117,-0.3859799070325385,-0.3859799070325385,-0.7075789520979957,-0.06438086196708126,-2.377127208632685,0.019084268251584498,0.16104396113949748,False
R Jones,112,-0.353234649122807,-0.353234649122807,-0.6748265628607102,-0.031642735384903864,-2.176541163653871,0.031633482390685946,0.17925640021388703,False
D England,101,-0.3402206010074691,-0.3402206010074691,-0.6340324378452741,-0.04640876416966411,-2.297347818516932,0.023682935461690806,0.16104396113949748,False
P Dowd,301,-0.2258786501136562,-0.2258786501136562,-0.4048693202731727,-0.04688797995413971,-2.4834103103927623,0.013559252503257412,0.15367152837025067,False
S Hooper,140,-0.17964285714285708,-0.17964285714285708,-0.4415604309396606,0.0822747166539464,-1.3560978377961401,0.17726689499806134,0.6286421782187176,False
A Madley,134,-0.17779523435454303,-0.17779523435454303,-0.4529131563343561,0.09732268762527002,-1.278259460438616,0.20338423412958512,0.6286421782187176,False
S Bennett,205,-0.13255455712451866,-0.13255455712451866,-0.3569299266284677,0.09182081237943038,-1.1648009163589597,0.24545986805591272,0.6840812873537628,False
G Scott,105,-0.0958145363408521,-0.0958145363408521,-0.3728543394325704,0.18122526675086623,-0.6858358222397546,0.49434269738090014,0.9813101254042699,False
G Poll,139,-0.09511548655812194,-0.09511548655812194,-0.35006979838520647,0.15983882526896256,-0.7376701618626182,0.46196738362649165,0.9813101254042699,False
M Jones,202,-0.06834288692027096,-0.06834288692027096,-0.2710153836031468,0.13432960976260486,-0.6649200143765941,0.506863827014005,0.9813101254042699,False
M Atkinson,460,-0.047826086956521754,-0.047826086956521754,-0.1948587755756217,0.0992066016625782,-0.6392131752509326,0.5230031261910542,0.9813101254042699,False
C Pawson,291,-0.04098993187435944,-0.04098993187435944,-0.24262122185969748,0.16064135811097857,-0.4001138806184959,0.6893672054428963,0.9813101254042699,False
M Riley,169,-0.03866396761133605,-0.03866396761133605,-0.2815260505576486,0.20419811533497653,-0.3142929162228192,0.7536885333858969,0.9813101254042699,False
L Probert,182,-0.03094274146905731,-0.030942741469057306,-0.24663808622680136,0.18475260328868673,-0.283060760082485,0.7774537316879415,0.9813101254042699,False
J Moss,274,-0.017239723396081468,-0.017239723396081465,-0.2045528064872658,0.17007335969510287,-0.18119235676096665,0.8563510412678016,0.9813101254042699,False
C Kavanagh,195,-0.012370670265407085,-0.012370670265407082,-0.24311809716410826,0.2183767566332941,-0.10573583267497294,0.9159011983326685,0.9813101254042699,False
P Tierney,197,-0.007943717160922605,-0.007943717160922601,-0.22694449245393178,0.21105705813208658,-0.07153459637446181,0.9430452311684336,0.9813101254042699,False
M Halsey,228,-0.0070752539242844035,-0.0070752539242844,-0.17978443835807698,0.16563393050950817,-0.08072281852164369,0.9357335132422789,0.9813101254042699,False
D Coote,112,-0.006743421052631514,-0.006743421052631511,-0.3413436697761503,0.32785682767088725,-0.039935831003805204,0.9682160263305621,0.9813101254042699,False
A Marriner,392,-0.004202470461868982,-0.004202470461868979,-0.15752606580902914,0.1491211248852912,-0.05388776388273731,0.9570521076763374,0.9813101254042699,False
H Webb,297,-0.0020290625553783465,-0.002029062555378343,-0.1723428655026617,0.168284740391905,-0.023446231642723164,0.9813101254042699,0.9813101254042699,False
P Walton,169,0.006228589224540661,0.006228589224540664,-0.2162038365384136,0.22866101498749494,0.05528145712850023,0.9559799225659485,0.9813101254042699,False
L Mason,287,0.007225380524481915,0.007225380524481919,-0.17814956876752552,0.19260032981648934,0.07671839052268739,0.9389012146166443,0.9813101254042699,False
C Foy,257,0.009911939381527728,0.009911939381527731,-0.1841889835167664,0.20401286227982188,0.10056275430550286,0.919976275739388,0.9813101254042699,False
R Styles,176,0.028543660287081316,0.02854366028708132,-0.17407824301960428,0.23116556359376694,0.27802583399441083,0.7813207338942401,0.9813101254042699,False
M Oliver,431,0.04516424471852487,0.04516424471852487,-0.10586241772436372,0.19619090716141346,0.5877780092175837,0.5569898468643495,0.9813101254042699,False
S Attwell,246,0.0498751961203823,0.0498751961203823,-0.1701339036708521,0.26988429591161667,0.446521851493654,0.6556147492662755,0.9813101254042699,False
M Clattenburg,293,0.0946021196335548,0.0946021196335548,-0.10751692406684948,0.2967211633339591,0.9211821577548437,0.3577157691398646,0.8687382964825283,False
K Friend,272,0.11105843653250769,0.11105843653250769,-0.08328467246428453,0.3054015455292999,1.1250566035265068,0.26156049222349753,0.6840812873537628,False
A Wiley,207,0.13686753114670736,0.13686753114670736,-0.06999617559603646,0.34373123788945115,1.304437252122994,0.19354002789721295,0.6286421782187176,False
A Taylor,432,0.14555311890838205,0.14555311890838205,-0.009769082331661655,0.3008753201484258,1.841863076584426,0.06618202942356488,0.31332644191116493,False
M Dean,529,0.21155606407322655,0.21155606407322655,0.06928032162190928,0.3538318065245438,2.921052548657514,0.0036377366582701133,0.12368304638118385,False
N Swarbrick,132,0.25669856459330137,0.25669856459330137,-0.024985850282132904,0.5383829794687356,1.8027656718890557,0.07372386868497999,0.31332644191116493,False
U Rennie,100,0.37465789473684225,0.37465789473684225,0.09940499078056025,0.6499107986931243,2.700798193579078,0.00813798542908917,0.1383457522945159,False
