referee,matches,mean,vs_average,ci_low,ci_high,t,p,p_fdr,significant
M Halsey,228,-1.0115997229916898,-1.0115997229916898,-1.1980590548092735,-0.825140391174106,-10.690408432396971,7.202453232527251e-22,2.4488340990592652e-20,True
L Probert,182,-0.6849045691150955,-0.6849045691150955,-0.9490012643118974,-0.42080787391829355,-5.117157080475275,7.870115439925359e-07,8.91946416524874e-06,True
G Scott,105,-0.6145614035087721,-0.6145614035087721,-0.9329319728140661,-0.296190834203478,-3.8279239445583295,0.0002210092538379753,0.0013881933902896138,True
C Foy,257,-0.4515052221994675,-0.4515052221994674,-0.6661864066516634,-0.2368240377472716,-4.141664521692582,4.686398795256086e-05,0.0003983438975967673,True
U Rennie,100,-0.3547631578947369,-0.35476315789473684,-0.7234702945092031,0.013943978719729355,-1.909176692799189,0.05913494922248978,0.15466063642805022,False
A Madley,134,-0.33757528148730037,-0.3375752814873003,-0.730168105945475,0.05501754297087419,-1.700771865720974,0.09132283427739969,0.20699842436210597,False
P Walton,169,-0.2922454064154469,-0.29224540641544683,-0.535955063724446,-0.048535749106447756,-2.3673520364173664,0.019053841954695967,0.07198118071774032,False
M Oliver,431,-0.1879777750641105,-0.18797777506411045,-0.3587397943723918,-0.017215755755829232,-2.1636520959707757,0.03104116195763122,0.09594540968722376,False
L Mason,287,-0.15822483036860455,-0.1582248303686045,-0.37254468880293673,0.05609502806572764,-1.4531218371536967,0.14728625000187232,0.2782073611146477,False
A Marriner,392,-0.10487379162191199,-0.10487379162191193,-0.2797922771742394,0.07004469393041537,-1.178760973899072,0.23921019164272847,0.3872926912310842,False
M Jones,202,-0.07542991141219388,-0.07542991141219382,-0.3264885220848851,0.17562869926049737,-0.5924331877214244,0.5542264199547771,0.7247576260947085,False
P Tierney,197,-0.058731855018256465,-0.05873185501825641,-0.32699452868610324,0.20953081864959033,-0.43176902221438224,0.666383875796556,0.8391500658178854,False
J Moss,274,-0.024020361121782647,-0.02402036112178259,-0.24182298670824107,0.19378226446467575,-0.21711714226391862,0.8282792260141305,0.938716456149348,False
S Hooper,140,-0.013176691729323384,-0.01317669172932333,-0.33534246343940083,0.30898907998075403,-0.0808672542443129,0.9356638415502699,0.9640172912942175,False
A Wiley,207,-0.0029748283752860107,-0.0029748283752859565,-0.24929793360587132,0.2433482768552993,-0.02381024293265501,0.9810270177495969,0.9810270177495969,False
M Atkinson,460,0.010377574370709304,0.010377574370709358,-0.1521475113592036,0.1729026601006222,0.12547875996842345,0.9001994785535637,0.9564619459631615,False
C Kavanagh,195,0.0241205578047682,0.024120557804768256,-0.2587679995842373,0.30700911519377366,0.168165844052496,0.8666279966681419,0.9504952221521556,False
M Clattenburg,293,0.031516076881623806,0.03151607688162386,-0.20198306156068394,0.2650152153239316,0.2656432310177897,0.7907014395794747,0.927029273989729,False
N Swarbrick,132,0.05550239234449754,0.055502392344497595,-0.23093535364176132,0.3419401383307564,0.3833187947256,0.7021047467824071,0.8525557639500658,False
A Taylor,432,0.09115497076023382,0.09115497076023388,-0.10397838553939442,0.28628832705986207,0.9181596524183707,0.35904880523865723,0.5307677990484498,False
R Jones,112,0.12209429824561392,0.12209429824561398,-0.21215776672057673,0.45634636321180455,0.7238190216008654,0.4706995575564344,0.6401513982767507,False
C Pawson,291,0.1353891601856875,0.13538916018568756,-0.09922599244055452,0.3700043128119295,1.1357746910508968,0.25698862923824,0.3971642451863709,False
G Poll,139,0.1425975009466112,0.14259750094661125,-0.19432197065988824,0.47951697255311065,0.8368722127029079,0.40411127498213933,0.572490972891364,False
K Friend,272,0.14782314241486058,0.14782314241486064,-0.08014613774911422,0.3757924225788354,1.276609483300197,0.2028330074720671,0.3610818040643427,False
H Webb,297,0.17677653730285312,0.17677653730285317,-0.04170656796464128,0.3952596425703475,1.5923342052707574,0.11237693654549755,0.23434289053257332,False
R Styles,176,0.18921949760765552,0.18921949760765558,-0.10916518039176507,0.48760417560707614,1.2515587630942029,0.21240106121431926,0.3610818040643427,False
S Attwell,246,0.28981956924832397,0.289819569248324,0.03439672487870299,0.545242413617945,2.2349443528116484,0.02632299758409485,0.08949819178592248,False
D England,101,0.3028226506861212,0.30282265068612124,-0.07732698513346059,0.682972286505703,1.58040796969277,0.11717144526628666,0.23434289053257332,False
P Bankes,117,0.3164942270205427,0.31649422702054275,-0.039656289131759725,0.6726447431728451,1.7600892522559513,0.08102856767319623,0.19678366434919087,False
P Dowd,301,0.3905752753977969,0.39057527539779696,0.16935418181671277,0.611796368978881,3.47441669389331,0.0005874341218628817,0.0024965950179172474,True
D Coote,112,0.40495770676691717,0.4049577067669172,0.024991798587040148,0.7849236149467942,2.111901916660181,0.036938074095588046,0.10465787660416612,False
S Bennett,205,0.43358151476251594,0.433581514762516,0.20460380287311805,0.6625592266519138,3.7334450938947343,0.0002449753041687554,0.0013881933902896138,True
M Dean,529,0.48839418963287234,0.4883941896328724,0.31707284965693927,0.6597155296088054,5.600203103745232,3.448051292480333e-08,5.861687197216566e-07,True
M Riley,169,0.5704297726564933,0.5704297726564933,0.258693467000644,0.8821660783123426,3.612457032864603,0.0004003204818998521,0.0019444137692278532,True
