referee,matches,mean,vs_average,ci_low,ci_high,t,p,p_fdr,significant
N Swarbrick,132,-0.03651863015709414,-0.03651863015709414,-0.0999442988021289,0.026907038487940627,-1.1390114305451609,0.2567769421616917,0.9426320106451033,False
P Tierney,197,-0.02699735321719141,-0.026997353217191405,-0.07976402954799157,0.025769323113608748,-1.0090192685552104,0.3142094221948481,0.9426320106451033,False
M Halsey,228,-0.02690005229764419,-0.026900052297644188,-0.07903077604738973,0.025230671452101342,-1.0167849039597672,0.31033824644382796,0.9426320106451033,False
G Poll,139,-0.025121378023052546,-0.025121378023052542,-0.09309820286331412,0.04285544681720903,-0.7307283013339144,0.46618393462319446,0.9426320106451033,False
S Bennett,205,-0.019292777096520816,-0.019292777096520813,-0.07049805374061613,0.03191249954757449,-0.7428690272551725,0.4584155657680116,0.9426320106451033,False
J Moss,274,-0.0154643356425857,-0.015464335642585697,-0.06236438767197644,0.031435716386805035,-0.6491359106847379,0.5167962589029849,0.9426320106451033,False
A Wiley,207,-0.015217808474687095,-0.015217808474687091,-0.06937554662350598,0.03893992967413178,-0.5539858317583559,0.5801893931488203,0.9426320106451033,False
A Madley,134,-0.014696602113454187,-0.014696602113454183,-0.08668040300360538,0.05728719877669702,-0.40383126947767445,0.6869853683115222,0.9426320106451033,False
D England,101,-0.014142508107592497,-0.014142508107592494,-0.09133972701808776,0.06305471080290276,-0.36346300659462344,0.7170262817590319,0.9426320106451033,False
A Taylor,432,-0.014104403121525775,-0.014104403121525772,-0.05175357522884642,0.023544768985794863,-0.7363234707972863,0.4619344320918461,0.9426320106451033,False
M Jones,202,-0.013355311038708344,-0.01335531103870834,-0.06686076614155934,0.04015014406414265,-0.49218327018999475,0.6231269231449484,0.9426320106451033,False
P Walton,169,-0.013314257648790705,-0.013314257648790701,-0.06733611312587914,0.04070759782829774,-0.4865588204843716,0.6272051441272596,0.9426320106451033,False
R Styles,176,-0.011632404080170881,-0.011632404080170878,-0.06695633645790688,0.04369152829756512,-0.41497154429234306,0.6786710223425065,0.9426320106451033,False
S Attwell,246,-0.009238957336862771,-0.009238957336862768,-0.056981347673110735,0.03850343299938519,-0.3811689773053358,0.7034081965928785,0.9426320106451033,False
A Marriner,392,-0.00748981771452476,-0.007489817714524756,-0.04618891282985759,0.031209277400808068,-0.3805089930807003,0.7037742535883914,0.9426320106451033,False
M Oliver,431,-0.0039151430711750895,-0.003915143071175086,-0.04126898053351313,0.033438694391162954,-0.20600825293011096,0.83688196383813,0.9426320106451033,False
M Dean,529,-0.003818133562719254,-0.0038181335627192506,-0.03694423104425253,0.029307963918814024,-0.22642563419329165,0.8209580209280505,0.9426320106451033,False
L Probert,182,-0.0024766539274402688,-0.0024766539274402653,-0.06236451948189304,0.05741121162701251,-0.08159962110315275,0.9350552643886103,0.980895035554232,False
C Pawson,291,-0.0013322930592355267,-0.0013322930592355234,-0.04725638585977435,0.0445917997413033,-0.057098346223328725,0.9545061746393766,0.980895035554232,False
C Kavanagh,195,0.0006754988209829221,0.0006754988209829255,-0.05488712746181422,0.05623812510378007,0.023977707355683817,0.980895035554232,0.980895035554232,False
H Webb,297,0.004062918539392251,0.004062918539392254,-0.04105597937996,0.049181816458744504,0.17721769900007264,0.8594585979411236,0.9426320106451033,False
M Atkinson,460,0.006002647662332333,0.006002647662332336,-0.031097189740538073,0.04310248506520274,0.3179549668621258,0.7506636997327307,0.9426320106451033,False
K Friend,272,0.006151344345460988,0.006151344345460992,-0.04106225378175731,0.05336494247267929,0.2565044499678925,0.7977559617619102,0.9426320106451033,False
C Foy,257,0.009306554201283809,0.009306554201283812,-0.037095927557867316,0.05570903596043494,0.3949606464236005,0.6932008087326489,0.9426320106451033,False
S Hooper,140,0.010066303212646724,0.010066303212646727,-0.05384251388450131,0.07397512030979475,0.3114260501763968,0.7559433439011546,0.9426320106451033,False
P Dowd,301,0.010672884829904488,0.010672884829904491,-0.03384791973390316,0.05519368939371213,0.47176151467590466,0.6374399525635908,0.9426320106451033,False
M Riley,169,0.012188031702644,0.012188031702644004,-0.04537655788508079,0.0697526212903688,0.4179901545181185,0.6764880867340908,0.9426320106451033,False
M Clattenburg,293,0.015204942585509388,0.015204942585509392,-0.030495734089719832,0.06090561926073861,0.6548080941460829,0.5131067826884962,0.9426320106451033,False
D Coote,112,0.016023283980939995,0.01602328398094,-0.05962228432501562,0.09166885228689561,0.41973651050357297,0.6754892465146047,0.9426320106451033,False
L Mason,287,0.023462081902754547,0.02346208190275455,-0.02193647267929988,0.06886063648480897,1.017218675535184,0.3099091437839184,0.9426320106451033,False
G Scott,105,0.026567861312353086,0.02656786131235309,-0.04900245088261573,0.1021381735073219,0.6971661814084567,0.48725432768333166,0.9426320106451033,False
U Rennie,100,0.035127419180093274,0.035127419180093274,-0.041814327953120574,0.11206916631330713,0.9058855978659597,0.3671958808820643,0.9426320106451033,False
R Jones,112,0.043274736019746664,0.043274736019746664,-0.029668389465057503,0.11621786150455082,1.1755978064826134,0.24227102410626317,0.9426320106451033,False
P Bankes,117,0.0860669915579812,0.0860669915579812,0.013196233051522885,0.1589377500644395,2.3392993970010147,0.021030607084118216,0.7150406408600194,False
