referee,matches,mean,vs_average,ci_low,ci_high,t,p,p_fdr,significant
P Tierney,197,0.41116751269035534,-0.045341064504397455,0.341854423847467,0.4804806015332437,-1.2900735465107518,0.19854510467773745,0.983501288436422,False
N Swarbrick,132,0.4166666666666667,-0.03984191052808611,0.33145564221468715,0.5018776911186462,-0.9249601608492051,0.356687373898729,0.983501288436422,False
A Taylor,432,0.41898148148148145,-0.03752709571327134,0.3722700551232685,0.4656929078396944,-1.5790329355305466,0.11506210688394174,0.983501288436422,False
A Madley,134,0.4253731343283582,-0.03113544286639458,0.3405781910862906,0.5101680775704258,-0.726277978117486,0.46894460055438825,0.983501288436422,False
D England,101,0.42574257425742573,-0.030766002937327064,0.3276440929443018,0.5238410555705497,-0.6222203723178623,0.5352131454787944,0.983501288436422,False
A Marriner,392,0.42857142857142855,-0.02793714862332425,0.37936762320034645,0.47777523394251065,-1.1162921582285827,0.2649826298774769,0.983501288436422,False
C Pawson,291,0.42955326460481097,-0.026955312589941827,0.37234201776063686,0.4867645114489851,-0.927315053535462,0.35453409595987706,0.983501288436422,False
S Bennett,205,0.43414634146341463,-0.022362235731338165,0.36572567898675856,0.5025670039400707,-0.6444068794008294,0.5200355472847087,0.983501288436422,False
M Dean,529,0.43478260869565216,-0.021725968499100634,0.3924015666448373,0.47716365074646705,-1.007052858746083,0.3143706523426255,0.983501288436422,False
M Oliver,431,0.4385150812064965,-0.01799349598825628,0.39148244804418264,0.4855477143688104,-0.751949135314629,0.45249303393591467,0.983501288436422,False
S Attwell,246,0.43902439024390244,-0.017484186950850356,0.37657445158583713,0.5014743289019677,-0.5514576552476579,0.5818225773498638,0.983501288436422,False
M Halsey,228,0.44298245614035087,-0.01352612105440193,0.3780167009015368,0.507948211379165,-0.4102593599375012,0.6820026439700622,0.983501288436422,False
P Walton,169,0.4437869822485207,-0.012721594946232095,0.3681139558924248,0.5194600086046166,-0.33188555499805267,0.7403893605644165,0.983501288436422,False
C Kavanagh,195,0.4461538461538462,-0.010354731040906617,0.3757653230089356,0.5165423692987567,-0.2901367854892572,0.7720214813518528,0.983501288436422,False
S Hooper,140,0.45,-0.006508577194752785,0.36656929557968865,0.5334307044203114,-0.1542431403043278,0.8776417536545238,0.983501288436422,False
H Webb,297,0.4511784511784512,-0.005330126016301617,0.39425760364581935,0.5080992987110831,-0.1842865247792153,0.8539148739854915,0.983501288436422,False
R Styles,176,0.45454545454545453,-0.0019631226492982656,0.3802588006827131,0.5288321084081959,-0.0521553081682576,0.9584644295894167,0.983501288436422,False
K Friend,272,0.45588235294117646,-0.0006262242535763352,0.396318865915399,0.5154458399669539,-0.02069863627299223,0.983501288436422,0.983501288436422,False
J Moss,274,0.45985401459854014,0.0033454374037873436,0.4004710416205609,0.5192369875765194,0.11090947877985467,0.9117696225292345,0.983501288436422,False
G Poll,139,0.460431654676259,0.003923077481506221,0.3765359706047299,0.5443273387477882,0.09246143095057764,0.9264655255455915,0.983501288436422,False
M Atkinson,460,0.4608695652173913,0.004360988022638512,0.4151476552669334,0.5065914751678492,0.18743698829092753,0.851400850286738,0.983501288436422,False
R Jones,112,0.4642857142857143,0.007777137090961506,0.3704849249860802,0.5580865035853484,0.16429410071844286,0.8697984257401469,0.983501288436422,False
D Coote,112,0.4642857142857143,0.007777137090961506,0.3704849249860802,0.5580865035853484,0.16429410071844286,0.8697984257401469,0.983501288436422,False
M Clattenburg,293,0.4709897610921502,0.014481183897397387,0.4134989770660725,0.5284805451182278,0.4957442920657144,0.6204477342823255,0.983501288436422,False
A Wiley,207,0.47342995169082125,0.016921374496068453,0.4048449121895434,0.5420149911920991,0.48642210856403406,0.6271849960609109,0.983501288436422,False
M Jones,202,0.4752475247524752,0.01873894755772243,0.4057914791049278,0.5447035704000227,0.5319931555051769,0.5953182527470146,0.983501288436422,False
U Rennie,100,0.48,0.023491422805247186,0.3803691469546262,0.5796308530453738,0.46784783952243364,0.6409216968451061,0.983501288436422,False
P Dowd,301,0.48172757475083056,0.02521899755607776,0.42495705535532985,0.5384980941463312,0.8741956522512403,0.382710982283478,0.983501288436422,False
L Probert,182,0.4835164835164835,0.027007906321730724,0.4102245398250948,0.5568084272078723,0.7271036606300174,0.4681018411009925,0.983501288436422,False
C Foy,257,0.4980544747081712,0.04154589751341842,0.43651513152299964,0.5595938178933428,1.3294787848044518,0.18487354397452002,0.983501288436422,False
L Mason,287,0.5017421602787456,0.045233583083992834,0.44354870349212705,0.5599356170653642,1.5299478912413662,0.12713490350714107,0.983501288436422,False
M Riley,169,0.5029585798816568,0.046450002686904024,0.42680406599753246,0.5791130937657811,1.2041427717939925,0.2302281783540457,0.983501288436422,False
G Scott,105,0.5333333333333333,0.07682475613858053,0.43632321874904,0.6303434479176266,1.5704174254261951,0.11935560373913671,0.983501288436422,False
P Bankes,117,0.5384615384615384,0.08195296126678564,0.44678572449876275,0.6301373524243141,1.7705669472367749,0.07925954388885746,0.983501288436422,False
